EPM,Plant,City,capacity_mgy,dryer_type,dryer_type_from_technology_flags,fiber_to_ethanol_technology,fiber_to_ethanol_source,operating_permit_source,dryer_mmbtu_hr,boiler_mmbtu_hr,rto_thermal_oxidizer_mmbtu_hr,waste_heat_boiler_mmbtu_hr,total_thermal_mmbtu_hr,total_thermal_mmbtu_hr_per_mgy,estimated_btu_per_gal_from_heat_input,white_fox_membrane,molecular_sieve_only,chp,waste_heat_recovery,fiber_to_ethanol,d3_capable,generic_fiber_separation,high_protein,corn_oil_extraction,edeniq,fluid_quip,icm_selective_milling,icm_fst,co2_capture,rng_biogas,program,pathway_class,ci,feedstock,coproduct_type,source_date,source_detail
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,CA,fiber/cellulosic,22.23,Corn Fiber (012),,2026-05-19,
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,CA,corn starch,61.09,Corn (009),DDGS,2026-05-19,
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,OR,fiber/cellulosic,31.27,Fiber,,2025-07-10,
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,OR,corn starch,52.72,Corn,WDGS,2025-07-10,
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,WA,corn starch,61.0,corn starch,,Q2 2025,"Siouxland Energy Cooperative (4060; 70112); Midwest Corn, Dry Mill; Wet DGS ; Corn oil and Syrup; Using Natural Gas, Grid Electricity; Starch Ethanol produced in Iowa; Ethanol transported by rail to Washington State"
3705,Siouxland Energy Cooperative,Sioux Center,65.0,Ring Dryer,Ring Dryer,Edeniq,lcfs_detail.ca_detail.fiber_technology,,,,,,,,,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,WA,fiber/cellulosic,21.5,fiber/cellulosic,,Q2 2025,"Siouxland Energy Cooperative (4060; 70112); Midwest Corn, Dry Mill; Cornel kernel fiber ethanol; Corn oil and Syrup; Using Natural Gas, Grid Electricity; Starch Ethanol produced in Iowa; Ethanol transported by rail to Washington State"
3708,Sothwest Iowa Renewable,Council Bluffs,147.0,Rotary Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,Plant Name Southwest Iowa Renewable.txt,,,,,,,,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,CA,fiber/cellulosic,23.33,Corn Fiber (012),,2026-05-19,
3708,Sothwest Iowa Renewable,Council Bluffs,147.0,Rotary Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,Plant Name Southwest Iowa Renewable.txt,,,,,,,,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,CA,corn starch,61.03,Corn (009),WDGS,2026-05-19,
3714,The Andersons Marathon Holdings LLC,Denison,62.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,14-TV-011R2.pdf,,,,,,,,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,CA,fiber/cellulosic,26.38,Any Cellulosic Biomass (041),,2026-05-19,
3714,The Andersons Marathon Holdings LLC,Denison,62.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,14-TV-011R2.pdf,,,,,,,,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,CA,corn starch,70.33,Corn (009),MDGS,2026-05-19,
3714,The Andersons Marathon Holdings LLC,Denison,62.0,DDGS Dryer,Rotary Dryer,Edeniq,tech_flags.fiber_technology,14-TV-011R2.pdf,,,,,,,,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,OR,corn starch,56.45,Corn,MDGS,2025-07-10,
3721,Valero Renewable Fuels LLC,Albert City,140.0,Rotary Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,16-TV-006R1.pdf,,,,150.0,,,,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,25.01,Corn Fiber (012),MDGS,2026-05-19,
3721,Valero Renewable Fuels LLC,Albert City,140.0,Rotary Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,16-TV-006R1.pdf,,,,150.0,,,,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,71.25,Corn (009),MDGS,2026-05-19,
3721,Valero Renewable Fuels LLC,Albert City,140.0,Rotary Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,16-TV-006R1.pdf,,,,150.0,,,,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,CFA,corn starch,42.0,Corn,,11-04-2024,FINAL
3726,Valero Renewable Fuels LLC,Charles City,165.0,DDGS Dryer,Rotary Dryer,Soliton,tech_flags.fiber_technology,15-TV-009R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,25.25,Corn Fiber (012),,2026-05-19,
3726,Valero Renewable Fuels LLC,Charles City,165.0,DDGS Dryer,Rotary Dryer,Soliton,tech_flags.fiber_technology,15-TV-009R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,70.51,Corn (009),MDGS,2026-05-19,
3726,Valero Renewable Fuels LLC,Charles City,165.0,DDGS Dryer,Rotary Dryer,Soliton,tech_flags.fiber_technology,15-TV-009R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CFA,corn starch,42.0,Corn,,18-07-2023,FINAL
3727,Valero Renewable Fuels LLC,Ft. Dodge,150.0,DDGS Dryer,Rotary Dryer,Soliton,tech_flags.fiber_technology,16-TV-005R1.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,26.8,Corn Fiber (012),,2026-05-19,
3727,Valero Renewable Fuels LLC,Ft. Dodge,150.0,DDGS Dryer,Rotary Dryer,Soliton,tech_flags.fiber_technology,16-TV-005R1.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,69.95,Corn (009),MDGS,2026-05-19,
